Unit,eGRID2018SeqNumber,FixedCost,VariableCost,StartUpCost,ShutdownCost,MinPowerOut,MaxPowerOut,RampDownLimit,RampShutDownLimit,RampUpLimit,RampStartUpLimit,Uini,PowerIni
127,22752,390.13872,62.52944815,8517.872754,267,33.4,66.8,66.8,66.8,66.8,66.8,0,0
128,22755,390.13872,62.52944815,8517.872754,200,33.4,66.8,66.8,66.8,66.8,66.8,0,0
129,22918,583.45596,57.09308326,12733.66477,514,49.95,99.9,99.9,99.9,99.9,99.9,0,0
130,22919,583.45596,57.09308326,12733.66477,140,49.95,99.9,99.9,99.9,99.9,99.9,0,0
131,22920,583.45596,57.09308326,12733.66477,423,49.95,99.9,99.9,99.9,99.9,99.9,0,0
132,22921,583.45596,57.09308326,12733.66477,366,49.95,99.9,99.9,99.9,99.9,99.9,0,0
133,22922,583.45596,57.09308326,12733.66477,633,49.95,99.9,99.9,99.9,99.9,99.9,0,0
134,22923,583.45596,57.09308326,12733.66477,285,49.95,99.9,99.9,99.9,99.9,99.9,0,0
135,22924,583.45596,57.09308326,12733.66477,634,49.95,99.9,99.9,99.9,99.9,99.9,0,0
136,22925,583.45596,57.09308326,12733.66477,600,49.95,99.9,99.9,99.9,99.9,99.9,0,0
137,23036,6.28785,26.29267827,164.4535541,8,0.75,2.5,2.5,2.5,2.5,2.5,0,0
138,23038,45.472,12.9509583,4794.547265,205,9.24,28,28,28,28,28,1,9.24
139,23082,410.470848,33.40852561,10776.22576,390,48.96,163.2,163.2,163.2,163.2,163.2,1,48.96
140,23083,315.3816,33.40852561,1398.6,41,16.2,54,54,54,54,54,0,0
141,23084,315.3816,33.40852561,1398.6,38,16.2,54,54,54,54,54,0,0
142,23085,1643.37552,33.40852561,14849.50935,384,121.15,242.3,242.3,242.3,242.3,242.3,0,0
143,23086,1643.37552,33.40852561,14849.50935,732,121.15,242.3,242.3,242.3,242.3,242.3,0,0
144,23087,2455.90704,33.40852561,22191.52842,332,181.05,362.1,362.1,362.1,362.1,362.1,0,0
145,99999,0,0,0,0,1000,9972.897,9972.897,9972.897,9972.897,9972.897,1,9890.823
