Hour,Demand,Reserves
785,16227,1092
786,17054,867
787,18411,1712
788,18670,1197
789,18623,1228
790,18499,1551
791,18036,1117
792,17499,1331
793,17113,1126
794,17028,1644
795,17115,1383
796,17272,1100
797,17559,979
798,18076,1788
799,18968,1288
800,19922,1918
801,20547,1146
802,20118,1334
803,19050,1004
804,18224,1257
805,17652,972
806,17157,1338
807,16728,1225
808,16647,1491
809,16971,850
810,17767,1230
811,18673,959
812,18446,1425
813,18364,946
814,18069,1170
815,17762,937
816,17089,1452
817,16575,1402
818,16551,1647
819,16803,1029
820,17284,932
821,18165,1336
822,19961,1055
823,22647,2067
824,23714,2103
825,22814,1666
826,20913,1805
827,19478,1870
828,18353,1518
829,17695,901
830,17305,1456
831,17020,1298
832,16856,1540
833,17125,1364
834,17789,1010
835,19301,1918
836,19496,1502
837,19175,1581
838,18388,1680
839,17240,1535
840,16263,891
841,15700,1149
842,15516,1179
843,15530,1414
844,15806,801
845,16467,1046
846,18024,1531
847,20508,1306
848,21299,1541
849,20403,1447
850,19091,1553
851,18176,1447
852,17528,1593
853,17194,929
854,17152,1105
855,17156,1368
856,17182,1606
857,17345,1225
858,17767,1530
859,18952,1828
860,18976,1893
861,18462,1506
862,17413,1004
863,16247,1320
864,15093,973
865,14283,1262
866,13940,1186
867,13865,1191
868,14050,1118
869,14609,1271
870,16052,1105
871,18480,1455
872,19367,1215
873,18900,1736
874,18325,1340
875,17948,1062
876,17630,1061
877,17567,1016
878,17611,1510
879,17528,1634
880,17469,1131
881,17549,1153
882,18031,1031
883,19142,1557
884,19085,1453
885,18627,1638
886,17647,1073
887,16256,827
888,14960,837
889,14042,885
890,13549,1192
891,13278,691
892,13189,1240
893,13529,933
894,14668,1085
895,16786,1342
896,17580,1488
897,17602,1743
898,17545,1751
899,17585,1191
900,17620,1699
901,17804,1140
902,18041,1066
903,18139,1499
904,18231,1703
905,18475,1503
906,18643,1328
907,19555,1908
908,19566,1061
909,18989,1550
910,17925,906
911,16515,1558
912,15008,1133
913,14061,717
914,13458,994
915,13126,1075
916,13036,907
917,13260,1243
918,14284,823
919,16260,957
920,17148,1290
921,17187,1626
922,17288,1320
923,17394,1220
924,17426,1687
