UNIT,UNIT_NAME,CC_KEY,UNIT_ID,PORTFOLIO_NAME,UNIT_TYPE,ColdStart_Hours,ColdStartU_HeatRate,ColdStartU_FixedCost,WarmStart_Hours,WarmStartU_HeatRate,WarmStartU_FixedCost,HotStart_Hours,HotStartU_HeatRate,HotStartU_FixedCost,ShutdownCost,NoLoadHR,MinPowerOut,MaxPowerOut,IHRC_B1_Q,IHRC_B1_HR,IHRC_B2_Q,IHRC_B2_HR,IHRC_B3_Q,IHRC_B3_HR,IHRC_B4_Q,IHRC_B4_HR,IHRC_B5_Q,IHRC_B5_HR,IHRC_B6_Q,IHRC_B6_HR,IHRC_B7_Q,IHRC_B7_HR,SpinningRes_Limit,RegDownRes_Limit,RegUpRes_Limit,NonSpinningRes_Limit,BalancingRes_Limit,RampDownLimit,RampShutDownLimit,RampUpLimit,RampStartUpLimit,MinUpTime,MinDownTime,UpTimeInit,DownTimeInit,FastStart,Nuclear,NaturalGasFired,PowerInit,StatusInit
28,CLIF_UN06,0,CLIF_UN06_0,DEC,Steam,144,9014,0,76,8733,0,8,7922,0,0,985.5761422,310,844,155,7.419,155,7.43335,134,7.47375,133,7.552,133,7.6823,134,7.87945,169,8.20795,180,30,30,0,180,180,310,180,310,96,48,0,500,0,0,1,0,0
29,DANR_CC01,1,DANR_CC01_1,DEC,Combined-Cycle,72,1935,0,32,1935,0,8,1935,0,9065,604.1098,150,359,75,4.1356,75,4.3418,52,4.81955,52,5.61445,47,6.7769,0.1,8.1006,129.9,8.87425,209,40,40,0,209,240,240,240,240,14,6,0,500,0,0,1,0,0
30,DANR_CC01,2,DANR_CC01_2,DEC,Combined-Cycle,72,1130,0,32,1130,0,8,1130,0,7416,1203.8886,150,359,300,4.1202,274,5.74265,0.1,7.9941,84.9,8.8892,29,8.93775,30,8.96765,144,9.07975,209,40,40,0,209,240,240,240,240,8,4,0,500,0,0,1,0,0
31,DCEP_CT12,0,DCEP_CT12_0,PEC,Peaker,72,67,5958,32,67,5958,8,67,5958,0,501.782,40,133,20,6.22655,20,6.2709,23,6.4386,23,6.8349,24,7.5837,23,8.7728,27,10.6882,133,50,50,133,133,133,133,133,133,1,5,0,500,1,0,0,0,0
32,DCEP_CT13,0,DCEP_CT13_0,PEC,Peaker,72,67,5958,32,67,5958,8,67,5958,0,501.782,40,133,20,6.22655,20,6.2709,23,6.4386,23,6.8349,24,7.5837,23,8.7728,27,10.6882,133,50,50,133,133,133,133,133,133,1,5,0,500,1,0,0,0,0
33,FAYE_CC01,1,FAYE_CC01_1,PEC,Combined-Cycle,72,0,8562,32,0,8562,8,0,8562,0,11.5,60,70,30,11.5,30,11.5,2,11.5,3,11.5,3,11.5,2,11.5,14,11.5,0,0,0,0,0,60,60,60,60,6,6,0,500,0,0,0,0,0
34,FAYE_CC01,2,FAYE_CC01_2,PEC,Combined-Cycle,72,0,5780,32,0,5780,8,0,5780,0,11.5,60,70,55,11.5,55,11.5,8,11.5,7,11.5,7,11.5,8,11.5,28,11.5,0,0,0,0,0,60,60,60,60,2,2,0,500,0,0,0,0,0
35,FAYE_CC01,3,FAYE_CC01_3,PEC,Combined-Cycle,72,0,5780,32,0,5780,8,0,5780,0,11.5,60,70,85,11.5,85,11.5,10,11.5,10,11.5,10,11.5,10,11.5,42,11.5,0,0,0,0,0,60,60,60,60,2,2,0,500,0,0,0,0,0
36,FAYE_CC01,4,FAYE_CC01_4,PEC,Combined-Cycle,72,0,5780,32,0,5780,8,0,5780,0,41.00112246,40,49,100,10.84235,100,13.33935,15,16.12925,15,17.4299,15,18.91805,15,20.60635,52,25.4959,0,0,0,0,0,49,49,49,49,2,2,0,500,0,0,0,0,0
37,HARR_UN01,0,HARR_UN01_0,PEC,Nuclear,72,0,0,32,0,0,8,0,0,0,1758.58,980,980,150,8.58,150,8.58,177,8.58,177,8.58,178,8.58,177,8.58,202,8.58,0,0,0,0,0,980,980,980,980,120,12,10,0,0,1,0,980,1
