Time period,Source,Sink,Flow,TransCap
7.0,7.0,6.0,451.09324101190714,480.0
7.0,7.0,7.0,0.0,0.0
7.0,7.0,8.0,0.0,0.0
7.0,7.0,9.0,0.0,0.0
7.0,7.0,10.0,0.0,0.0
7.0,8.0,1.0,0.0,0.0
7.0,8.0,2.0,0.0,0.0
7.0,8.0,3.0,0.0,0.0
7.0,8.0,4.0,0.0,0.0
7.0,8.0,5.0,98.14622306695901,740.0
7.0,8.0,6.0,16.254845733040952,621.0
7.0,8.0,7.0,0.0,0.0
7.0,8.0,8.0,0.0,0.0
7.0,8.0,9.0,0.0,0.0
7.0,8.0,10.0,0.0,0.0
7.0,9.0,1.0,0.0,0.0
7.0,9.0,2.0,0.0,0.0
7.0,9.0,3.0,0.0,0.0
7.0,9.0,4.0,0.0,0.0
7.0,9.0,5.0,-262.15584558412235,450.0
7.0,9.0,6.0,0.0,0.0
7.0,9.0,7.0,0.0,0.0
7.0,9.0,8.0,0.0,0.0
7.0,9.0,9.0,0.0,0.0
7.0,9.0,10.0,190.34065788412244,1200.0
7.0,10.0,1.0,-130.98417659278226,1200.0
7.0,10.0,2.0,-180.24212425236956,1200.0
7.0,10.0,3.0,0.0,0.0
7.0,10.0,4.0,0.0,0.0
7.0,10.0,5.0,0.0,0.0
7.0,10.0,6.0,0.0,0.0
7.0,10.0,7.0,0.0,0.0
7.0,10.0,8.0,0.0,0.0
7.0,10.0,9.0,-190.34065788412244,1200.0
7.0,10.0,10.0,0.0,0.0
8.0,1.0,1.0,0.0,0.0
8.0,1.0,2.0,-63.23188258667789,300.0
8.0,1.0,3.0,-561.503234743339,990.0
8.0,1.0,4.0,0.0,0.0
8.0,1.0,5.0,0.0,0.0
8.0,1.0,6.0,0.0,0.0
8.0,1.0,7.0,0.0,0.0
8.0,1.0,8.0,0.0,0.0
8.0,1.0,9.0,0.0,0.0
8.0,1.0,10.0,178.23216293001693,1200.0
8.0,2.0,1.0,63.23188258667789,300.0
8.0,2.0,2.0,0.0,0.0
8.0,2.0,3.0,-498.2713521566611,800.0
8.0,2.0,4.0,-141.3933741841483,1195.0
8.0,2.0,5.0,0.0,0.0
8.0,2.0,6.0,-334.7856334625633,1100.0
8.0,2.0,7.0,0.0,0.0
8.0,2.0,8.0,0.0,0.0
8.0,2.0,9.0,0.0,0.0
8.0,2.0,10.0,241.46404551669482,1200.0
8.0,3.0,1.0,561.503234743339,990.0
8.0,3.0,2.0,498.2713521566611,800.0
8.0,3.0,3.0,0.0,0.0
8.0,3.0,4.0,0.0,0.0
8.0,3.0,5.0,0.0,0.0
8.0,3.0,6.0,0.0,0.0
8.0,3.0,7.0,-316.514281305902,1300.0
8.0,3.0,8.0,0.0,0.0
8.0,3.0,9.0,0.0,0.0
8.0,3.0,10.0,0.0,0.0
8.0,4.0,1.0,0.0,0.0
8.0,4.0,2.0,141.3933741841483,1195.0
8.0,4.0,3.0,0.0,0.0
8.0,4.0,4.0,0.0,0.0
8.0,4.0,5.0,-98.44267720573362,753.0
8.0,4.0,6.0,-193.3922592784147,1500.0
8.0,4.0,7.0,0.0,0.0
8.0,4.0,8.0,0.0,0.0
8.0,4.0,9.0,0.0,0.0
8.0,4.0,10.0,0.0,0.0
8.0,5.0,1.0,0.0,0.0
8.0,5.0,2.0,0.0,0.0
8.0,5.0,3.0,0.0,0.0
8.0,5.0,4.0,98.44267720573362,753.0
8.0,5.0,5.0,0.0,0.0
8.0,5.0,6.0,-94.9495820726811,870.0
8.0,5.0,7.0,0.0,0.0
8.0,5.0,8.0,-54.14435788634091,740.0
8.0,5.0,9.0,314.96117765328836,450.0
8.0,5.0,10.0,0.0,0.0
8.0,6.0,1.0,0.0,0.0
8.0,6.0,2.0,334.7856334625633,1100.0
8.0,6.0,3.0,0.0,0.0
8.0,6.0,4.0,193.3922592784147,1500.0
8.0,6.0,5.0,94.9495820726811,870.0
8.0,6.0,6.0,0.0,0.0
8.0,6.0,7.0,-480.0,480.0
8.0,6.0,8.0,40.805224186340865,621.0
8.0,6.0,9.0,0.0,0.0
8.0,6.0,10.0,0.0,0.0
8.0,7.0,1.0,0.0,0.0
8.0,7.0,2.0,0.0,0.0
8.0,7.0,3.0,316.514281305902,1300.0
8.0,7.0,4.0,0.0,0.0
8.0,7.0,5.0,0.0,0.0
8.0,7.0,6.0,480.0,480.0
8.0,7.0,7.0,0.0,0.0
8.0,7.0,8.0,0.0,0.0
8.0,7.0,9.0,0.0,0.0
8.0,7.0,10.0,0.0,0.0
8.0,8.0,1.0,0.0,0.0
