Hour,StorageUniID,Power,EnergyLimit,Charge_St,Discharge_St,Idle_St,storgChrgPwr,storgDiscPwr,storgSOC,storgResUp,storgResDn
10.0,6.0,7.0,7.0,0.0,1.0,0.0,0.0,0.0,7.000000000000002,0.0,0.0
10.0,7.0,180.0,2168.6746987951806,0.0,1.0,0.0,0.0,0.0,416.28597778394715,81.17438525909874,0.0
10.0,8.0,8.0,8.0,0.0,1.0,0.0,0.0,5.052313680385282,2.1617342446268033,0.0,0.0
10.0,9.0,190.0,2289.156626506024,0.0,1.0,0.0,0.0,0.0,496.71781606044095,190.00000000000003,0.0
10.0,10.0,9.0,9.0,0.0,1.0,0.0,0.0,0.0,9.0,8.280000000000001,0.0
11.0,1.0,150.0,1807.2289156626505,0.0,1.0,0.0,0.0,0.0,333.68841284534597,150.00000000000003,0.0
11.0,2.0,5.0,5.0,0.0,1.0,0.0,0.0,0.0,4.783362218370885,0.0,0.0
11.0,3.0,160.0,1927.7108433734938,1.0,0.0,0.0,0.0,0.0,385.5421687,0.0,0.0
11.0,4.0,6.0,6.0,0.0,1.0,0.0,0.0,0.0,6.000000000000001,5.520000000000001,0.0
11.0,5.0,170.0,2048.1927710843374,0.0,1.0,0.0,0.0,0.0,617.1199604737496,170.00000000000003,0.0
11.0,6.0,7.0,7.0,0.0,1.0,0.0,0.0,0.0,7.000000000000002,6.440000000000002,0.0
11.0,7.0,180.0,2168.6746987951806,0.0,1.0,0.0,0.0,0.0,416.28597778394715,109.0904762,0.0
11.0,8.0,8.0,8.0,1.0,0.0,0.0,6.345941038449155,0.0,8.0,0.0,0.0
11.0,9.0,190.0,2289.156626506024,0.0,1.0,0.0,0.0,0.0,496.71781606044095,0.0,0.0
11.0,10.0,9.0,9.0,0.0,1.0,0.0,0.0,0.0,9.0,8.280000000000001,0.0
12.0,1.0,150.0,1807.2289156626505,0.0,1.0,0.0,0.0,0.0,333.68841284534597,150.00000000000003,0.0
12.0,2.0,5.0,5.0,0.0,1.0,0.0,0.0,0.0,4.783362218370885,0.0,0.0
12.0,3.0,160.0,1927.7108433734938,0.0,1.0,0.0,0.0,0.0,385.5421687,160.0,0.0
12.0,4.0,6.0,6.0,0.0,1.0,0.0,0.0,0.0,6.000000000000001,0.0,0.0
12.0,5.0,170.0,2048.1927710843374,0.0,1.0,0.0,0.0,0.0,617.1199604737496,170.00000000000003,0.0
12.0,6.0,7.0,7.0,0.0,1.0,0.0,0.0,0.0,7.000000000000002,0.0,0.0
12.0,7.0,180.0,2168.6746987951806,0.0,1.0,0.0,0.0,55.12288117962379,352.633690047661,0.0,0.0
12.0,8.0,8.0,8.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0
12.0,9.0,190.0,2289.156626506024,0.0,1.0,0.0,0.0,0.0,496.71781606044095,190.00000000000003,0.0
12.0,10.0,9.0,9.0,0.0,1.0,0.0,0.0,0.0,9.0,0.0,0.0
13.0,1.0,150.0,1807.2289156626505,0.0,1.0,0.0,0.0,98.79706312160923,219.60404434464246,51.20293687839077,0.0
13.0,2.0,5.0,5.0,0.0,1.0,0.0,0.0,0.0,4.783362218370885,4.400693240901215,0.0
13.0,3.0,160.0,1927.7108433734938,0.0,1.0,0.0,0.0,11.355971685285965,372.42903742368827,148.64402831471403,0.0
13.0,4.0,6.0,6.0,0.0,1.0,0.0,0.0,0.0,6.000000000000001,5.520000000000001,0.0
13.0,5.0,170.0,2048.1927710843374,0.0,1.0,0.0,0.0,0.0,617.1199604737496,170.0,0.0
13.0,6.0,7.0,7.0,0.0,1.0,0.0,0.0,0.0,7.000000000000002,6.440000000000002,0.0
13.0,7.0,180.0,2168.6746987951806,0.0,1.0,0.0,0.0,19.260810568622844,330.3925692986739,23.128077590476735,0.0
13.0,8.0,8.0,8.0,0.0,1.0,0.0,0.0,7.36,0.0,0.0,0.0
13.0,9.0,190.0,2289.156626506024,0.0,1.0,0.0,0.0,95.32021152448266,386.6482877411769,94.67978847551734,0.0
13.0,10.0,9.0,9.0,0.0,1.0,0.0,0.0,0.0,9.0,8.280000000000001,0.0
14.0,1.0,150.0,1807.2289156626505,0.0,1.0,0.0,0.0,0.0,219.60404434464246,150.00000000000003,0.0
14.0,2.0,5.0,5.0,0.0,1.0,0.0,0.0,0.0,4.783362218370885,4.400693240901215,0.0
14.0,3.0,160.0,1927.7108433734938,0.0,1.0,0.0,0.0,0.0,372.42903742368827,0.0,0.0
14.0,4.0,6.0,6.0,0.0,1.0,0.0,0.0,0.0,6.000000000000001,0.0,0.0
14.0,5.0,170.0,2048.1927710843374,0.0,1.0,0.0,0.0,170.00000000000003,420.8151105892231,0.0,0.0
14.0,6.0,7.0,7.0,0.0,1.0,0.0,0.0,0.0,7.000000000000002,6.440000000000002,0.0
14.0,7.0,180.0,2168.6746987951806,0.0,1.0,0.0,0.0,0.0,330.3925692986739,165.19775772551782,0.0
14.0,8.0,8.0,8.0,1.0,0.0,0.0,8.318890814558058,0.0,7.653379549393414,0.0,0.3188908145580598
14.0,9.0,190.0,2289.156626506024,0.0,1.0,0.0,0.0,43.93028796641903,335.9204725374598,146.06971203358097,0.0
14.0,10.0,9.0,9.0,0.0,1.0,0.0,0.0,0.0,9.0,8.280000000000001,0.0
15.0,1.0,150.0,1807.2289156626505,0.0,1.0,0.0,0.0,0.0,219.60404434464246,150.00000000000003,0.0
15.0,2.0,5.0,5.0,0.0,1.0,0.0,0.0,0.0,4.783362218370885,4.400693240901215,0.0
15.0,3.0,160.0,1927.7108433734938,0.0,1.0,0.0,0.0,0.0,372.42903742368827,160.00000000000003,0.0
15.0,4.0,6.0,6.0,0.0,1.0,0.0,0.0,0.0,6.000000000000001,5.520000000000001,0.0
15.0,5.0,170.0,2048.1927710843374,0.0,1.0,0.0,0.0,170.00000000000003,224.5102607046965,0.0,0.0
15.0,6.0,7.0,7.0,0.0,1.0,0.0,0.0,6.440000000000002,0.0,0.0,0.0
15.0,7.0,180.0,2168.6746987951806,0.0,1.0,0.0,0.0,0.0,330.3925692986739,180.0,0.0
15.0,8.0,8.0,8.0,1.0,0.0,0.0,0.376761359354985,0.0,8.0,0.0,0.0
15.0,9.0,190.0,2289.156626506024,0.0,1.0,0.0,0.0,38.77241117745231,291.1486351501014,0.0,0.0
15.0,10.0,9.0,9.0,0.0,1.0,0.0,0.0,0.0,9.0,8.280000000000001,0.0
16.0,1.0,150.0,1807.2289156626505,0.0,1.0,0.0,0.0,150.00000000000003,46.39388268182489,0.0,0.0
16.0,2.0,5.0,5.0,0.0,1.0,0.0,0.0,4.400693240901215,0.0,0.0,0.0
16.0,3.0,160.0,1927.7108433734938,0.0,1.0,0.0,0.0,62.59773228802402,300.14528189479216,56.203525071074324,0.0
16.0,4.0,6.0,6.0,0.0,1.0,0.0,0.0,0.0,6.000000000000001,5.520000000000001,0.0
16.0,5.0,170.0,2048.1927710843374,0.0,1.0,0.0,0.0,0.0,224.5102607046965,170.00000000000003,0.0
16.0,6.0,7.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16.0,7.0,180.0,2168.6746987951806,0.0,1.0,0.0,0.0,0.0,330.3925692986739,180.0,0.0
16.0,8.0,8.0,8.0,0.0,1.0,0.0,0.0,0.0,8.0,7.36,0.0
16.0,9.0,190.0,2289.156626506024,0.0,1.0,0.0,0.0,98.40338057107436,177.51886543754443,91.59661942892564,0.0
16.0,10.0,9.0,9.0,0.0,1.0,0.0,0.0,0.0,9.0,8.280000000000001,0.0
17.0,1.0,150.0,1807.2289156626505,0.0,1.0,0.0,0.0,0.0,46.39388268182489,40.177102402460356,0.0
17.0,2.0,5.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17.0,3.0,160.0,1927.7108433734938,0.0,1.0,0.0,0.0,112.38812609460246,170.36684529594407,0.0,0.0
17.0,4.0,6.0,6.0,0.0,1.0,0.0,0.0,0.0,6.000000000000001,0.0,0.0
17.0,5.0,170.0,2048.1927710843374,0.0,1.0,0.0,0.0,0.0,224.5102607046965,115.558140734023,0.0
17.0,6.0,7.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.44
17.0,7.0,180.0,2168.6746987951806,0.0,1.0,0.0,0.0,2.210676405396839,327.83982518158746,177.78932359460316,0.0
17.0,8.0,8.0,8.0,0.0,1.0,0.0,0.0,0.0,8.0,7.36,0.0
17.0,9.0,190.0,2289.156626506024,0.0,1.0,0.0,0.0,0.0,177.51886543754443,153.7313374689135,0.0
17.0,10.0,9.0,9.0,0.0,1.0,0.0,0.0,0.0,9.0,8.280000000000001,0.0
18.0,1.0,150.0,1807.2289156626505,0.0,1.0,0.0,0.0,0.0,46.39388268182489,40.177102402460356,0.0
18.0,2.0,5.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18.0,3.0,160.0,1927.7108433734938,0.0,1.0,0.0,0.0,0.0,170.36684529594407,147.53768802628758,0.0
18.0,4.0,6.0,6.0,0.0,1.0,0.0,0.0,0.0,6.000000000000001,5.520000000000001,0.0
18.0,5.0,170.0,2048.1927710843374,0.0,1.0,0.0,0.0,0.0,224.5102607046965,18.29717050959342,0.0
18.0,6.0,7.0,7.0,1.0,0.0,0.0,7.279029462738301,0.0,6.696707105719239,0.0,0.27902946273830054
18.0,7.0,180.0,2168.6746987951806,0.0,1.0,0.0,0.0,103.90928860725472,207.85219399538107,76.09071139274528,0.0
18.0,8.0,8.0,8.0,0.0,1.0,0.0,0.0,7.36,0.0,0.0,0.0
18.0,9.0,190.0,2289.156626506024,0.0,1.0,0.0,0.0,0.0,177.51886543754443,153.7313374689135,0.0
18.0,10.0,9.0,9.0,1.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0
19.0,1.0,150.0,1807.2289156626505,0.0,1.0,0.0,0.0,0.0,46.39388268182489,40.177102402460356,0.0
19.0,2.0,5.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19.0,3.0,160.0,1927.7108433734938,0.0,1.0,0.0,0.0,0.0,170.36684529594407,147.53768802628758,0.0
19.0,4.0,6.0,6.0,0.0,1.0,0.0,0.0,0.0,6.000000000000001,5.520000000000001,0.0
19.0,5.0,170.0,2048.1927710843374,0.0,1.0,0.0,0.0,137.19535159152343,66.08606718099739,0.0,0.0
19.0,6.0,7.0,7.0,0.0,1.0,0.0,0.0,3.1359613399294473,3.288053475361144,3.0250091973322526,0.0
19.0,7.0,180.0,2168.6746987951806,0.0,1.0,0.0,0.0,0.0,207.85219399538107,180.00000000000003,0.0
19.0,8.0,8.0,8.0,1.0,0.0,0.0,8.31889081455806,0.0,7.653379549393414,0.0,0.3188908145580598
19.0,9.0,190.0,2289.156626506024,0.0,1.0,0.0,0.0,62.79414618310466,105.0083040251834,90.93719128580884,0.0
19.0,10.0,9.0,9.0,0.0,1.0,0.0,0.0,0.0,9.0,8.28,0.0
20.0,1.0,150.0,1807.2289156626505,0.0,1.0,0.0,0.0,0.0,46.39388268182489,40.17710240246036,0.0
20.0,2.0,5.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20.0,3.0,160.0,1927.7108433734938,0.0,1.0,0.0,0.0,0.0,170.36684529594407,147.53768802628758,0.0
20.0,4.0,6.0,6.0,0.0,1.0,0.0,0.0,0.0,6.000000000000001,5.520000000000001,0.0
20.0,5.0,170.0,2048.1927710843374,0.0,1.0,0.0,0.0,0.0,66.08606718099739,57.23053417874374,0.0
20.0,6.0,7.0,7.0,0.0,1.0,0.0,0.0,3.0250091973322526,0.0,0.0,0.0
20.0,7.0,180.0,2168.6746987951806,0.0,1.0,0.0,0.0,0.0,207.85219399538107,180.00000000000003,0.0
20.0,8.0,8.0,8.0,0.0,1.0,0.0,0.0,0.0,7.653379549393414,7.0411091854419405,0.0
20.0,9.0,190.0,2289.156626506024,0.0,1.0,0.0,0.0,0.0,105.0083040251834,0.0,0.0
20.0,10.0,9.0,9.0,0.0,1.0,0.0,0.0,0.0,9.0,8.280000000000001,0.0
21.0,1.0,150.0,1807.2289156626505,0.0,1.0,0.0,0.0,0.0,46.39388268182489,40.177102402460356,0.0
