BEGIN_DATE,PORTFOLIO_NAME,MW
1/12/2019 9:00:00 PM,PEC,8607
1/13/2019 10:00:00 AM,DEC,11757
1/13/2019 10:00:00 AM,PEC,7879
1/13/2019 10:00:00 PM,DEC,11360
1/13/2019 10:00:00 PM,PEC,9217
1/13/2019 11:00:00 AM,DEC,11899
1/13/2019 11:00:00 AM,PEC,7938
1/13/2019 11:00:00 PM,DEC,11582
1/13/2019 11:00:00 PM,PEC,9037
1/13/2019 12:00:00 AM,PEC,8516
1/13/2019 12:00:00 AM,DEC,12176
1/13/2019 12:00:00 PM,PEC,8568
1/13/2019 12:00:00 PM,DEC,11974
1/13/2019 1:00:00 AM,DEC,12114
1/13/2019 1:00:00 AM,PEC,8346
1/13/2019 1:00:00 PM,DEC,11993
1/13/2019 1:00:00 PM,PEC,8981
1/13/2019 2:00:00 AM,DEC,12064
1/13/2019 2:00:00 AM,PEC,8024
1/13/2019 2:00:00 PM,DEC,12015
1/13/2019 2:00:00 PM,PEC,9209
1/13/2019 3:00:00 AM,PEC,7656
1/13/2019 3:00:00 AM,DEC,12097
1/13/2019 3:00:00 PM,DEC,12015
1/13/2019 3:00:00 PM,PEC,9216
1/13/2019 4:00:00 AM,DEC,12039
1/13/2019 4:00:00 AM,PEC,7376
1/13/2019 4:00:00 PM,DEC,11924
1/13/2019 4:00:00 PM,PEC,8856
1/13/2019 5:00:00 AM,PEC,7418
1/13/2019 5:00:00 AM,DEC,11937
1/13/2019 5:00:00 PM,DEC,11592
1/13/2019 5:00:00 PM,PEC,9084
1/13/2019 6:00:00 AM,DEC,11841
1/13/2019 6:00:00 AM,PEC,7469
1/13/2019 6:00:00 PM,DEC,11421
1/13/2019 6:00:00 PM,PEC,9030
1/13/2019 7:00:00 AM,DEC,11695
1/13/2019 7:00:00 AM,PEC,7593
1/13/2019 7:00:00 PM,DEC,11273
1/13/2019 7:00:00 PM,PEC,8896
1/13/2019 8:00:00 AM,DEC,11690
1/13/2019 8:00:00 AM,PEC,7615
1/13/2019 8:00:00 PM,DEC,11320
1/13/2019 8:00:00 PM,PEC,8894
1/13/2019 9:00:00 AM,PEC,7657
1/13/2019 9:00:00 AM,DEC,11697
1/13/2019 9:00:00 PM,DEC,11344
1/13/2019 9:00:00 PM,PEC,8984
1/14/2019 10:00:00 AM,DEC,11899
1/14/2019 10:00:00 AM,PEC,8575
1/14/2019 10:00:00 PM,DEC,11862
1/14/2019 10:00:00 PM,PEC,9267
1/14/2019 11:00:00 AM,DEC,12299
1/14/2019 11:00:00 AM,PEC,9456
1/14/2019 11:00:00 PM,DEC,12037
1/14/2019 11:00:00 PM,PEC,9501
1/14/2019 12:00:00 AM,DEC,11938
1/14/2019 12:00:00 AM,PEC,8955
1/14/2019 12:00:00 PM,DEC,12472
1/14/2019 12:00:00 PM,PEC,9923
1/14/2019 1:00:00 AM,PEC,8877
1/14/2019 1:00:00 AM,DEC,11990
1/14/2019 1:00:00 PM,DEC,12507
1/14/2019 1:00:00 PM,PEC,9806
1/14/2019 2:00:00 AM,DEC,11857
1/14/2019 2:00:00 AM,PEC,8750
1/14/2019 2:00:00 PM,DEC,12345
1/14/2019 2:00:00 PM,PEC,9784
1/14/2019 3:00:00 AM,PEC,7884
1/14/2019 3:00:00 AM,DEC,11919
1/14/2019 3:00:00 PM,DEC,12338
1/14/2019 3:00:00 PM,PEC,10046
1/14/2019 4:00:00 AM,DEC,11727
1/14/2019 4:00:00 AM,PEC,7489
1/14/2019 4:00:00 PM,DEC,12072
1/14/2019 4:00:00 PM,PEC,10028
1/14/2019 5:00:00 AM,DEC,11412
1/14/2019 5:00:00 AM,PEC,7464
1/14/2019 5:00:00 PM,PEC,9504
1/14/2019 5:00:00 PM,DEC,11677
1/14/2019 6:00:00 AM,DEC,11351
1/14/2019 6:00:00 AM,PEC,7555
1/14/2019 6:00:00 PM,DEC,11703
1/14/2019 6:00:00 PM,PEC,9226
1/14/2019 7:00:00 AM,DEC,11398
1/14/2019 7:00:00 AM,PEC,7511
1/14/2019 7:00:00 PM,DEC,11686
1/14/2019 7:00:00 PM,PEC,8857
1/14/2019 8:00:00 AM,DEC,11357
1/14/2019 8:00:00 AM,PEC,7677
1/14/2019 8:00:00 PM,DEC,11643
1/14/2019 8:00:00 PM,PEC,8850
1/14/2019 9:00:00 AM,DEC,11426
1/14/2019 9:00:00 AM,PEC,7701
1/14/2019 9:00:00 PM,PEC,9042
1/14/2019 9:00:00 PM,DEC,11745
1/15/2019 10:00:00 AM,DEC,12427
1/15/2019 10:00:00 AM,PEC,9007
1/15/2019 10:00:00 PM,DEC,12342
1/15/2019 10:00:00 PM,PEC,8109
1/15/2019 11:00:00 AM,DEC,12544
1/15/2019 11:00:00 AM,PEC,9898
1/15/2019 11:00:00 PM,PEC,9058
1/15/2019 11:00:00 PM,DEC,12742
1/15/2019 12:00:00 AM,DEC,12078
1/15/2019 12:00:00 AM,PEC,9514
1/15/2019 12:00:00 PM,DEC,12586
1/15/2019 12:00:00 PM,PEC,10313
1/15/2019 1:00:00 AM,DEC,12077
1/15/2019 1:00:00 AM,PEC,9581
1/15/2019 1:00:00 PM,PEC,9770
1/15/2019 1:00:00 PM,DEC,12278
1/15/2019 2:00:00 AM,PEC,9459
1/15/2019 2:00:00 AM,DEC,12016
1/15/2019 2:00:00 PM,DEC,12259
1/15/2019 2:00:00 PM,PEC,9529
1/15/2019 3:00:00 AM,DEC,11864
1/15/2019 3:00:00 AM,PEC,8996
1/15/2019 3:00:00 PM,DEC,12343
1/15/2019 3:00:00 PM,PEC,9268
1/15/2019 4:00:00 AM,DEC,11700
1/15/2019 4:00:00 AM,PEC,8362
1/15/2019 4:00:00 PM,PEC,8883
1/15/2019 4:00:00 PM,DEC,12341
1/15/2019 5:00:00 AM,DEC,11596
1/15/2019 5:00:00 AM,PEC,8023
1/15/2019 5:00:00 PM,DEC,12264
1/15/2019 5:00:00 PM,PEC,8555
1/15/2019 6:00:00 AM,DEC,11696
1/15/2019 6:00:00 AM,PEC,7763
1/15/2019 6:00:00 PM,PEC,8413
1/15/2019 6:00:00 PM,DEC,12184
1/15/2019 7:00:00 AM,DEC,11672
1/15/2019 7:00:00 AM,PEC,7723
1/15/2019 7:00:00 PM,DEC,12123
1/15/2019 7:00:00 PM,PEC,8068
1/15/2019 8:00:00 AM,DEC,11951
1/15/2019 8:00:00 AM,PEC,7768
1/15/2019 8:00:00 PM,DEC,12226
1/15/2019 8:00:00 PM,PEC,7931
1/15/2019 9:00:00 AM,DEC,12239
1/15/2019 9:00:00 AM,PEC,8260
1/15/2019 9:00:00 PM,DEC,12158
1/15/2019 9:00:00 PM,PEC,7862
1/16/2019 10:00:00 AM,DEC,13347
1/16/2019 10:00:00 AM,PEC,9433
1/16/2019 10:00:00 PM,PEC,7803
1/16/2019 10:00:00 PM,DEC,12093
1/16/2019 11:00:00 AM,DEC,14052
1/16/2019 11:00:00 AM,PEC,10300
1/16/2019 11:00:00 PM,DEC,12961
1/16/2019 11:00:00 PM,PEC,8194
1/16/2019 12:00:00 AM,DEC,12888
1/16/2019 12:00:00 AM,PEC,9187
1/16/2019 12:00:00 PM,DEC,14409
1/16/2019 12:00:00 PM,PEC,10879
1/16/2019 1:00:00 AM,DEC,12817
1/16/2019 1:00:00 AM,PEC,9223
1/16/2019 1:00:00 PM,DEC,14201
1/16/2019 1:00:00 PM,PEC,11216
1/16/2019 2:00:00 AM,DEC,12807
1/16/2019 2:00:00 AM,PEC,9167
1/16/2019 2:00:00 PM,PEC,10583
1/16/2019 2:00:00 PM,DEC,13217
1/16/2019 3:00:00 AM,DEC,12743
1/16/2019 3:00:00 AM,PEC,8875
1/16/2019 3:00:00 PM,DEC,12871
1/16/2019 3:00:00 PM,PEC,9615
1/16/2019 4:00:00 AM,DEC,12534
1/16/2019 4:00:00 AM,PEC,8631
1/16/2019 4:00:00 PM,PEC,8867
1/16/2019 4:00:00 PM,DEC,12573
1/16/2019 5:00:00 AM,DEC,12594
1/16/2019 5:00:00 AM,PEC,9019
1/16/2019 5:00:00 PM,DEC,12289
1/16/2019 5:00:00 PM,PEC,8322
1/16/2019 6:00:00 AM,DEC,12664
1/16/2019 6:00:00 AM,PEC,8479
1/16/2019 6:00:00 PM,DEC,11972
