Day,Time period,Source,Sink,Flow,TransCap
1,101,1,2,-1657,5000
1,101,2,1,1657,5000
1,101,2,2,0,0
1,102,1,1,0,0
1,102,1,2,-1500,5000
1,102,2,1,1500,5000
1,102,2,2,0,0
1,103,1,1,0,0
1,103,1,2,-1488,5000
1,103,2,1,1488,5000
1,103,2,2,0,0
1,104,1,1,0,0
1,104,1,2,-1174,5000
1,104,2,1,1174,5000
1,104,2,2,0,0
1,105,1,1,0,0
1,105,1,2,-906,5000
1,105,2,1,906,5000
1,105,2,2,0,0
1,106,1,1,0,0
1,106,1,2,-705,5000
1,106,2,1,705,5000
1,106,2,2,0,0
1,107,1,1,0,0
1,107,1,2,-1004,5000
1,107,2,1,1004,5000
1,107,2,2,0,0
1,108,1,1,0,0
1,108,1,2,-1153,5000
1,108,2,1,1153,5000
1,108,2,2,0,0
1,109,1,1,0,0
1,109,1,2,-1089,5000
1,109,2,1,1089,5000
1,109,2,2,0,0
1,110,1,1,0,0
1,110,1,2,-1347.001676,5000
1,110,2,1,1347.001676,5000
1,110,2,2,0,0
1,111,1,1,0,0
1,111,1,2,-2004,5000
1,111,2,1,2004,5000
1,111,2,2,0,0
1,112,1,1,0,0
1,112,1,2,-2307,5000
1,112,2,1,2307,5000
1,112,2,2,0,0
1,113,1,1,0,0
1,113,1,2,-2385,5000
1,113,2,1,2385,5000
1,113,2,2,0,0
1,114,1,1,0,0
1,114,1,2,-1994,5000
1,114,2,1,1994,5000
1,114,2,2,0,0
1,115,1,1,0,0
1,115,1,2,-1572,5000
1,115,2,1,1572,5000
1,115,2,2,0,0
1,116,1,1,0,0
1,116,1,2,-1364.9,5000
1,116,2,1,1364.9,5000
1,116,2,2,0,0
1,117,1,1,0,0
1,117,1,2,-1486,5000
1,117,2,1,1486,5000
1,117,2,2,0,0
1,118,1,1,0,0
1,118,1,2,-1226,5000
1,118,2,1,1226,5000
1,118,2,2,0,0
1,119,1,1,0,0
1,119,1,2,-1078,5000
1,119,2,1,1078,5000
1,119,2,2,0,0
1,120,1,1,0,0
1,120,1,2,-765,5000
1,120,2,1,765,5000
1,120,2,2,0,0
1,121,1,1,0,0
1,121,1,2,-817,5000
1,121,2,1,817,5000
1,121,2,2,0,0
1,122,1,1,0,0
1,122,1,2,-906,5000
1,122,2,1,906,5000
1,122,2,2,0,0
1,123,1,1,0,0
1,123,1,2,-857,5000
1,123,2,1,857,5000
1,123,2,2,0,0
1,124,1,1,0,0
1,124,1,2,-959,5000
1,124,2,1,959,5000
1,124,2,2,0,0
1,125,1,1,0,0
1,125,1,2,-576,5000
1,125,2,1,576,5000
1,125,2,2,0,0
1,126,1,1,0,0
1,126,1,2,-857.1,5000
1,126,2,1,857.1,5000
1,126,2,2,0,0
1,127,1,1,0,0
1,127,1,2,-746,5000
1,127,2,1,746,5000
1,127,2,2,0,0
1,128,1,1,0,0
1,128,1,2,-679,5000
1,128,2,1,679,5000
1,128,2,2,0,0
1,129,1,1,0,0
1,129,1,2,-1046,5000
1,129,2,1,1046,5000
1,129,2,2,0,0
1,130,1,1,0,0
1,130,1,2,-839,5000
1,130,2,1,839,5000
1,130,2,2,0,0
1,131,1,1,0,0
1,131,1,2,-696,5000
1,131,2,1,696,5000
1,131,2,2,0,0
1,132,1,1,0,0
1,132,1,2,-1017,5000
1,132,2,1,1017,5000
1,132,2,2,0,0
1,133,1,1,0,0
1,133,1,2,-764,5000
1,133,2,1,764,5000
1,133,2,2,0,0
1,134,1,1,0,0
1,134,1,2,-1376,5000
1,134,2,1,1376,5000
1,134,2,2,0,0
1,135,1,1,0,0
1,135,1,2,-1943,5000
1,135,2,1,1943,5000
1,135,2,2,0,0
1,136,1,1,0,0
1,136,1,2,-2306,5000
1,136,2,1,2306,5000
1,136,2,2,0,0
1,137,1,1,0,0
1,137,1,2,-2249,5000
1,137,2,1,2249,5000
1,137,2,2,0,0
1,138,1,1,0,0
1,138,1,2,-1847,5000
1,138,2,1,1847,5000
1,138,2,2,0,0
1,139,1,1,0,0
1,139,1,2,-1509.9,5000
1,139,2,1,1509.9,5000
1,139,2,2,0,0
1,140,1,1,0,0
1,140,1,2,-1415.9,5000
1,140,2,1,1415.9,5000
1,140,2,2,0,0
1,141,1,1,0,0
1,141,1,2,-1334.1,5000
1,141,2,1,1334.1,5000
1,141,2,2,0,0
1,142,1,1,0,0
1,142,1,2,-1012,5000
1,142,2,1,1012,5000
1,142,2,2,0,0
1,143,1,1,0,0
1,143,1,2,-863,5000
1,143,2,1,863,5000
1,143,2,2,0,0
1,144,1,1,0,0
1,144,1,2,-776,5000
1,144,2,1,776,5000
1,144,2,2,0,0
1,145,1,1,0,0
1,145,1,2,-954,5000
1,145,2,1,954,5000
1,145,2,2,0,0
1,146,1,1,0,0
1,146,1,2,-1069,5000
1,146,2,1,1069,5000
1,146,2,2,0,0
1,147,1,1,0,0
1,147,1,2,-1007,5000
1,147,2,1,1007,5000
1,147,2,2,0,0
1,148,1,1,0,0
1,148,1,2,-909,5000
1,148,2,1,909,5000
1,148,2,2,0,0
1,149,1,1,0,0
1,149,1,2,-661.9,5000
1,149,2,1,661.9,5000
1,149,2,2,0,0
1,150,1,1,0,0
1,150,1,2,-632,5000
1,150,2,1,632,5000
1,150,2,2,0,0
1,151,1,1,0,0
1,151,1,2,-1023,5000
1,151,2,1,1023,5000
1,151,2,2,0,0
1,152,1,1,0,0
1,152,1,2,-753,5000
1,152,2,1,753,5000
1,152,2,2,0,0
1,153,1,1,0,0
1,153,1,2,-999,5000
1,153,2,1,999,5000
1,153,2,2,0,0
1,154,1,1,0,0
1,154,1,2,-1232,5000
1,154,2,1,1232,5000
1,154,2,2,0,0
1,155,1,1,0,0
1,155,1,2,-851,5000
1,155,2,1,851,5000
1,155,2,2,0,0
1,156,1,1,0,0
1,156,1,2,-848,5000
1,156,2,1,848,5000
1,156,2,2,0,0
1,157,1,1,0,0
1,157,1,2,-1268,5000
1,157,2,1,1268,5000
1,157,2,2,0,0
1,158,1,1,0,0
1,158,1,2,-1568,5000
1,158,2,1,1568,5000
1,158,2,2,0,0
1,159,1,1,0,0
1,159,1,2,-1983,5000
1,159,2,1,1983,5000
1,159,2,2,0,0
1,160,1,1,0,0
1,160,1,2,-2207,5000
1,160,2,1,2207,5000
1,160,2,2,0,0
1,161,1,1,0,0
1,161,1,2,-2266,5000
1,161,2,1,2266,5000
1,161,2,2,0,0
1,162,1,1,0,0
1,162,1,2,-1925,5000
1,162,2,1,1925,5000
1,162,2,2,0,0
1,163,1,1,0,0
1,163,1,2,-1377,5000
1,163,2,1,1377,5000
1,163,2,2,0,0
1,164,1,1,0,0
1,164,1,2,-1103,5000
1,164,2,1,1103,5000
1,164,2,2,0,0
1,165,1,1,0,0
1,165,1,2,-901,5000
1,165,2,1,901,5000
1,165,2,2,0,0
1,166,1,1,0,0
1,166,1,2,-869,5000
1,166,2,1,869,5000
1,166,2,2,0,0
1,167,1,1,0,0
1,167,1,2,-1211.1,5000
1,167,2,1,1211.1,5000
1,167,2,2,0,0
1,168,1,1,0,0
1,168,1,2,-788,5000
1,168,2,1,788,5000
1,168,2,2,0,0
2,18,1,1,0,0
2,18,1,2,-2228.686771,5000
2,18,2,1,2228.686771,5000
2,18,2,2,0,0
2,19,1,1,0,0
2,19,1,2,-2274,5000
2,19,2,1,2274,5000
2,19,2,2,0,0
2,20,1,1,0,0
2,20,1,2,-2147,5000
2,20,2,1,2147,5000
2,20,2,2,0,0
2,21,1,1,0,0
2,21,1,2,-2138,5000
2,21,2,1,2138,5000
2,21,2,2,0,0
2,22,1,1,0,0
2,22,1,2,-1753,5000
2,22,2,1,1753,5000
2,22,2,2,0,0
2,23,1,1,0,0
2,23,1,2,-1317.1,5000
2,23,2,1,1317.1,5000
2,23,2,2,0,0
2,24,1,1,0,0
