Day,Time period,Source,Sink,Flow,TransCap
1,67,2,1,1167,5000
1,67,2,2,0,0
1,68,1,1,0,0
1,68,1,2,-1112,5000
1,68,2,1,1112,5000
1,68,2,2,0,0
1,69,1,1,0,0
1,69,1,2,-948,5000
1,69,2,1,948,5000
1,69,2,2,0,0
1,70,1,1,0,0
1,70,1,2,-1110,5000
1,70,2,1,1110,5000
1,70,2,2,0,0
1,71,1,1,0,0
1,71,1,2,-1294,5000
1,71,2,1,1294,5000
1,71,2,2,0,0
1,72,1,1,0,0
1,72,1,2,-1593,5000
1,72,2,1,1593,5000
1,72,2,2,0,0
1,73,1,1,0,0
1,73,1,2,-1876,5000
1,73,2,1,1876,5000
1,73,2,2,0,0
1,74,1,1,0,0
1,74,1,2,-2095,5000
1,74,2,1,2095,5000
1,74,2,2,0,0
1,75,1,1,0,0
1,75,1,2,-2221,5000
1,75,2,1,2221,5000
1,75,2,2,0,0
1,76,1,1,0,0
1,76,1,2,-2174,5000
1,76,2,1,2174,5000
1,76,2,2,0,0
1,77,1,1,0,0
1,77,1,2,-2009.147753,5000
1,77,2,1,2009.147753,5000
1,77,2,2,0,0
1,78,1,1,0,0
1,78,1,2,-1498,5000
1,78,2,1,1498,5000
1,78,2,2,0,0
1,79,1,1,0,0
1,79,1,2,-888,5000
1,79,2,1,888,5000
1,79,2,2,0,0
1,80,1,1,0,0
1,80,1,2,-606,5000
1,80,2,1,606,5000
1,80,2,2,0,0
1,81,1,1,0,0
1,81,1,2,-715,5000
1,81,2,1,715,5000
1,81,2,2,0,0
1,82,1,1,0,0
1,82,1,2,-846,5000
1,82,2,1,846,5000
1,82,2,2,0,0
1,83,1,1,0,0
1,83,1,2,-1043,5000
1,83,2,1,1043,5000
1,83,2,2,0,0
1,84,1,1,0,0
1,84,1,2,-1191,5000
1,84,2,1,1191,5000
1,84,2,2,0,0
1,85,1,1,0,0
1,85,1,2,-1464,5000
1,85,2,1,1464,5000
1,85,2,2,0,0
1,86,1,1,0,0
1,86,1,2,-1509,5000
1,86,2,1,1509,5000
1,86,2,2,0,0
1,87,1,1,0,0
1,87,1,2,-1659,5000
1,87,2,1,1659,5000
1,87,2,2,0,0
1,88,1,1,0,0
1,88,1,2,-1809,5000
1,88,2,1,1809,5000
1,88,2,2,0,0
1,89,1,1,0,0
1,89,1,2,-1899,5000
1,89,2,1,1899,5000
1,89,2,2,0,0
1,90,1,1,0,0
1,90,1,2,-1552,5000
1,90,2,1,1552,5000
1,90,2,2,0,0
1,91,1,1,0,0
1,91,1,2,-1128,5000
1,91,2,1,1128,5000
1,91,2,2,0,0
1,92,1,1,0,0
1,92,1,2,-1175,5000
1,92,2,1,1175,5000
1,92,2,2,0,0
1,93,1,1,0,0
1,93,1,2,-1108,5000
1,93,2,1,1108,5000
1,93,2,2,0,0
1,94,1,1,0,0
1,94,1,2,-1139,5000
1,94,2,1,1139,5000
1,94,2,2,0,0
1,95,1,1,0,0
1,95,1,2,-1205,5000
1,95,2,1,1205,5000
1,95,2,2,0,0
1,96,1,1,0,0
1,96,1,2,-1329,5000
1,96,2,1,1329,5000
1,96,2,2,0,0
1,97,1,1,0,0
1,97,1,2,-1565,5000
1,97,2,1,1565,5000
1,97,2,2,0,0
1,98,1,1,0,0
1,98,1,2,-1767,5000
1,98,2,1,1767,5000
1,98,2,2,0,0
1,99,1,1,0,0
1,99,1,2,-1875,5000
1,99,2,1,1875,5000
1,99,2,2,0,0
1,100,1,1,0,0
1,100,1,2,-1855,5000
1,100,2,1,1855,5000
1,100,2,2,0,0
1,101,1,1,0,0
1,101,1,2,-1657,5000
1,101,2,1,1657,5000
1,101,2,2,0,0
1,102,1,1,0,0
1,102,1,2,-1662.35574,5000
1,102,2,1,1662.35574,5000
1,102,2,2,0,0
1,103,1,1,0,0
1,103,1,2,-1488,5000
1,103,2,1,1488,5000
1,103,2,2,0,0
1,104,1,1,0,0
1,104,1,2,-1174,5000
1,104,2,1,1174,5000
1,104,2,2,0,0
1,105,1,1,0,0
1,105,1,2,-906,5000
1,105,2,1,906,5000
1,105,2,2,0,0
1,106,1,1,0,0
1,106,1,2,-705,5000
1,106,2,1,705,5000
1,106,2,2,0,0
1,107,1,1,0,0
1,107,1,2,-1004,5000
1,107,2,1,1004,5000
1,107,2,2,0,0
1,108,1,1,0,0
1,108,1,2,-1153,5000
1,108,2,1,1153,5000
1,108,2,2,0,0
1,109,1,1,0,0
1,109,1,2,-1077,5000
1,109,2,1,1077,5000
1,109,2,2,0,0
1,110,1,1,0,0
1,110,1,2,-1538,5000
1,110,2,1,1538,5000
1,110,2,2,0,0
1,111,1,1,0,0
1,111,1,2,-2004,5000
1,111,2,1,2004,5000
1,111,2,2,0,0
1,112,1,1,0,0
1,112,1,2,-2307,5000
1,112,2,1,2307,5000
1,112,2,2,0,0
1,113,1,1,0,0
1,113,1,2,-2385,5000
1,113,2,1,2385,5000
