Day,Hour,GeneratorID,VariableCost,MinPowerOut,MaxPowerOut,Output,On/off,ShutDown,Startup
1,30,109,ROBN_UN02_0,797,797,797.0,1.0,0.0,0.0
1,30,110,ROWAN_CT02_0,70,192,0.0,-0.0,0.0,-0.0
1,30,111,ROXB_UN01_0,70,380,0.0,0.0,0.0,0.0
1,30,112,ROXB_UN02_0,85,673,0.0,0.0,0.0,0.0
1,30,113,ROXB_UN03_1,68,349,0.0,0.0,0.0,0.0
1,30,114,ROXB_UN03_2,68,349,0.0,0.0,0.0,0.0
1,30,115,ROXB_UN04_1,125,355,0.0,0.0,0.0,0.0
1,30,116,ROXB_UN04_2,125,356,0.0,0.0,0.0,0.0
1,30,117,SCCP_CC01_1,180,359,179.99999999999994,1.0,0.0,0.0
1,30,118,SCCP_CC01_2,96,360,95.99999999999994,1.0,0.0,0.0
1,30,119,SOCO_CC01_1,48,48,0.0,0.0,0.0,0.0
1,30,120,SOCO_CC01_2,49,48,0.0,0.0,0.0,0.0
1,30,121,SOCO_CC01_3,48,48,0.0,0.0,0.0,0.0
1,30,122,SPRT_CG01_0,0,0,0.0,0.0,0.0,0.0
1,30,123,SUTT_CT01_0,15,49,0.0,-0.0,0.0,-0.0
1,30,124,SUTT_CT02_0,15,49,0.0,-0.0,0.0,-0.0
1,30,125,SUTT_CT04_0,15,49,0.0,-0.0,0.0,-0.0
1,30,126,SUTT_CT05_0,15,49,0.0,-0.0,0.0,-0.0
1,30,127,WCOP_CT10_0,70,192,0.0,-0.0,0.0,-0.0
1,30,128,WCOP_CT11_0,70,192,0.0,-0.0,0.0,-0.0
1,30,129,WCOP_CT12_0,100,193,0.0,-0.0,0.0,-0.0
1,30,130,WCOP_CT13_0,100,191,0.0,-0.0,0.0,-0.0
1,30,131,WCOP_CT14_0,100,195,0.0,-0.0,0.0,-0.0
1,30,132,WSPN_CT01_0,12,164,0.0,-0.0,0.0,-0.0
